Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
19,10.473988439306359,213.0,10.473988439306359,11.212432085264455,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
20,10.473988439306359,213.0,10.473988439306359,11.460247951577431,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
21,10.473988439306359,213.0,10.473988439306359,10.95707863106707,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
22,10.473988439306359,213.0,10.473988439306359,11.184794476557482,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
23,10.473988439306359,213.0,10.473988439306359,11.071045373833542,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
24,10.473988439306359,213.0,10.473988439306359,11.226059318544868,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
25,10.473988439306359,213.0,10.473988439306359,10.954827660029972,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
26,10.473988439306359,213.0,10.473988439306359,11.003710839934346,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
27,10.473988439306359,213.0,10.473988439306359,10.903226926348312,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
28,10.473988439306359,213.0,10.473988439306359,10.989523121387283,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
29,10.473988439306359,213.0,10.473988439306359,10.763527617212588,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
30,10.473988439306359,213.0,10.473988439306359,11.266518752067883,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
31,10.473988439306359,213.0,10.473988439306359,10.81726813518721,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
32,10.473988439306359,213.0,10.473988439306359,11.035911551518486,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
