Generation,Best CP,Best CO,Best Score,Mean Score,Routes
25,12.0417469492614,108.0,233929.5,277081.402173913,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
26,12.0417469492614,108.0,233929.5,299640.5930232558,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
27,12.0417469492614,108.0,233929.5,270694.5348837209,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
28,12.0417469492614,108.0,233929.5,277659.76923076925,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
29,12.0417469492614,108.0,233929.5,278994.9,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
30,12.0417469492614,108.0,233929.5,288449.03571428574,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
31,12.0417469492614,108.0,233929.5,329798.0869565217,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
32,12.0417469492614,108.0,233929.5,296456.3048780488,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
33,12.0417469492614,108.0,233929.5,314249.01136363635,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
34,12.0417469492614,108.0,233929.5,307133.25,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
35,12.0417469492614,108.0,233929.5,292758.8023255814,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
36,12.0417469492614,108.0,233929.5,305954.4146341463,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
37,12.0417469492614,108.0,233929.5,301022.46428571426,"[[10, 13, 14], [12, 4, 2, 5], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
38,11.856775850995504,108.0,231769.5,298163.95945945947,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
39,11.856775850995504,108.0,231769.5,273551.025,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
40,11.856775850995504,108.0,231769.5,302517.0348837209,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
41,11.856775850995504,108.0,231769.5,273376.77906976745,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
