Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
17,10.337829158638407,229.0,10.337829158638407,11.816012790554668,"[[5, 4, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10], [10, 7, 15, 6, 3, 2, 1], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [10, 8, 6, 4, 5, 2, 1]]"
18,10.324341682723185,249.0,10.324341682723185,12.558794783725672,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10], [10, 7, 15, 6, 3, 2, 1], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [10, 8, 6, 4, 5, 2, 1]]"
19,10.315992292870906,257.0,10.315992292870906,11.525478620915838,"[[11, 10, 7, 15, 6, 3, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10], [13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [10, 8, 6, 4, 5, 2, 1]]"
20,10.315992292870906,257.0,10.315992292870906,12.370555263618847,"[[11, 10, 7, 15, 6, 3, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10], [13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [10, 8, 6, 4, 5, 2, 1]]"
21,10.315992292870906,257.0,10.315992292870906,11.262513380432454,"[[11, 10, 7, 15, 6, 3, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10], [13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [10, 8, 6, 4, 5, 2, 1]]"
22,10.315992292870906,257.0,10.315992292870906,11.649941126097195,"[[11, 10, 7, 15, 6, 3, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10], [13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [10, 8, 6, 4, 5, 2, 1]]"
23,10.297366730892742,253.0,10.297366730892742,11.586954970384644,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
24,10.296724470134874,271.0,10.296724470134874,11.73498223952394,"[[11, 10, 7, 15, 6, 3, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10], [4, 12, 11, 13, 14, 10, 7, 15, 9], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [10, 8, 6, 4, 5, 2, 1]]"
25,10.294797687861271,255.0,10.294797687861271,11.278248271123658,"[[11, 10, 7, 15, 6, 3, 2, 1], [15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
26,10.294797687861271,255.0,10.294797687861271,12.055975495281851,"[[11, 10, 7, 15, 6, 3, 2, 1], [15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
