Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
26,13.32883750802826,97.0,97.0,150.26,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [10, 13, 14], [2, 4, 5, 2], [10, 7, 15, 9], [4, 2, 1], [5, 4, 2]]"
27,13.378291586384073,95.0,95.0,156.62745098039215,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [7, 10, 13, 14], [2, 4, 5], [10, 7, 15, 9], [2, 1], [5, 4, 2]]"
28,12.788053949903661,92.0,92.0,147.33333333333334,"[[12, 11, 10, 7, 15, 8, 6, 4, 2], [10, 13, 14], [5, 2, 4, 5], [15, 9], [2, 1], [15, 6, 3, 2, 1]]"
29,12.788053949903661,92.0,92.0,150.0408163265306,"[[12, 11, 10, 7, 15, 8, 6, 4, 2], [10, 13, 14], [5, 2, 4, 5], [15, 9], [2, 1], [15, 6, 3, 2, 1]]"
30,13.890815671162493,89.0,89.0,155.14583333333334,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [6, 4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
31,14.405908798972384,87.0,87.0,146.18,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 15], [2, 1], [9, 15, 6, 3, 2]]"
32,14.405908798972384,87.0,87.0,143.38,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 15], [2, 1], [9, 15, 6, 3, 2]]"
33,14.405908798972384,87.0,87.0,150.73469387755102,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 15], [2, 1], [9, 15, 6, 3, 2]]"
34,14.405908798972384,87.0,87.0,167.19607843137254,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 15], [2, 1], [9, 15, 6, 3, 2]]"
35,13.890815671162493,85.0,85.0,147.06,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
